platformID,platform,entityID,entity,webLabel,heatmapLabel,tier1and2entity,tier1and2entityID,website,easeDiscover,methodDiscover,easeAccess,methodAccess,LinktoSource,fileFormat,metadata,metadataFormat,dataDefinitions,metaAttributes,metadataStandards,timeliness,lengthAvailable,group,count
p14,Data Map Services,n08,State Water Resources Control Board,CalEPA-SWRCB,CalEPA-SWRCB: Data Map Services,Environmental Protection Agency,2,http://gispublic.waterboards.ca.gov/arcgis/rest/services,Low,Website,Yes,Web Services,Not Applicable,Shapefile,Yes,html,No,Descriptive,Yes,Unknown,Current Only,hub,5
p15,Water Transfers Program,n20,Water Rights Programs,CalEPA-Water Rights,CalEPA-Water Rights: Water Transfers Program,Environmental Protection Agency,2,https://www.waterboards.ca.gov/waterrights/water_issues/programs/water_transfers/,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,No,No,No,Yearly or Higher,Limited Record,hub,5
p16,Water Data Library,n26,Department of Water Resources,NRA-DWR,NRA-DWR: Water Data Library,Natural Resources Agency,3,http://wdl.water.ca.gov/waterdatalibrary/index.cfm,Medium,Catalog; Map,Yes,Individual Export; Batch Export,Not Applicable,csv; excel; html; txt,Yes,html,No,Descriptive,No,Daily or Higher,Period of Record,hub,5
p17,CA Environmental Data Exchange Network,n08,State Water Resources Control Board,CalEPA-SWRCB,CalEPA-SWRCB: CA Environmental Data Exchange Network,Environmental Protection Agency,2,https://ceden.waterboards.ca.gov/AdvancedQueryTool,Low,Catalog,Yes,Individual Export; Web Services,Not Applicable,excel; html; txt,No,No,No,No,No,Unknown,Period of Record,hub,5
p18,My Water Quality,nMix,California Water Quality Monitoring Council,"CalEPA,NRA","CalEPA,NRA: My Water Quality",NA,NA,https://mywaterquality.ca.gov/index.html,Low,Website; Map,Yes,Individual Export; Batch Export; Link to Source,Not Applicable,csv; png; pdf; txt; excel,Yes,html,No,Descriptive,Yes,Unknown,Period of Record,hub,5
p19,GAMA OnLine Tools,n21,GAMA,CalEPA-GAMA,CalEPA-GAMA: GAMA OnLine Tools,Environmental Protection Agency,2,https://www.waterboards.ca.gov/water_issues/programs/gama/online_tools.html,High,Website; Catalog; Map,Yes,Individual Export; Batch Export,Not Applicable,excel; kml,Yes; No,html,No,Descriptive,Yes,Irregular,Period of Record,hub,5
p20,Water Conservation and Production Reports,n72,Conservation Program,CalEPA-Conservation,CalEPA-Conservation: Water Conservation and Production Reports,Environmental Protection Agency,2,https://www.waterboards.ca.gov/water_issues/programs/conservation_portal/conservation_reporting.html#monthly_archive,Low,Website,Yes,Batch Export,Not Applicable,excel; pdf,No,No,No,No,No,Yearly or Higher,Limited Record,hub,5
p21,Natural Resources Agency Open Data,n25,Natural Resources Agency,NRA,NRA: Natural Resources Agency Open Data,Natural Resources Agency,3,https://data.cnra.ca.gov/,High,Catalog,Yes,Individual Export; Web Services,Not Applicable,csv; excel; kml; json; html; pdf; zip,Yes,html,Yes,Administrative; Descriptive; Structural,Yes,Irregular,Period of Record,hub,5
p22,CA Water Library,n26,Department of Water Resources,NRA-DWR,NRA-DWR: CA Water Library,Natural Resources Agency,3,https://cawaterlibrary.net/,High,Catalog,Yes,Individual Export,Not Applicable,pdf,Yes,html,No,Descriptive,No,Irregular,Not Applicable,hub,5
p23,Groundwater Exchange,nMix,Groundwater Management,Hub,Hub: Groundwater Exchange,NA,NA,https://groundwaterexchange.org/,Medium,Catalog,No,Link to Source,Indirect,None,No,No,No,No,No,Irregular,Not Applicable,hub,5
p24,Best Available Maps,n26,Department of Water Resources,NRA-DWR,NRA-DWR: Best Available Maps,Natural Resources Agency,3,http://gis.bam.water.ca.gov/bam/,Medium,Map,No,Link to Source,Indirect,None,No,No,No,No,No,Irregular,Current Only,hub,5
p25,CA Data Exchange Center,n26,Department of Water Resources,NRA-DWR,NRA-DWR: CA Data Exchange Center,Natural Resources Agency,3,https://cdec.water.ca.gov/,Low,Website,Yes,Individual Export; Web Services,Not Applicable,html; png,No,No,No,No,No,Daily or Higher,Limited Record,hub,5
p26,CA Irrigation Management Information System,n26,Department of Water Resources,NRA-DWR,NRA-DWR: CA Irrigation Management Information System,Natural Resources Agency,3,https://cimis.water.ca.gov/,Low,Website,Yes,Individual Export,Not Applicable,csv; html; json,Yes,html,No,Administrative,No,Daily or Higher,Limited Record,hub,5
p27,Water Management Planning Tool,n26,Department of Water Resources,NRA-DWR,NRA-DWR: Water Management Planning Tool,Natural Resources Agency,3,https://gis.water.ca.gov/app/boundaries/,Medium,Map,Yes,Web Services,Not Applicable,json,Yes,html,No,Descriptive,Yes,Irregular,Current Only,hub,5
p28,Groundwater Information Center Interactive Map Application,n26,Department of Water Resources,NRA-DWR,NRA-DWR: Groundwater Information Center Interactive Map Application,Natural Resources Agency,3,https://gis.water.ca.gov/app/gicima/,Low,Website,Yes,Individual Export,Not Applicable,csv; html; json,Yes,html,No,Administrative; Descriptive,No,Yearly or Higher,Limited Record,hub,5
p29,Flood Emergency Response Information Exchange,n29,Flood Management Program,NRA-Flood Management,NRA-Flood Management: Flood Emergency Response Information Exchange,Natural Resources Agency,3,http://ferix.water.ca.gov/webapp/home.jsp,Low,Website,Yes,Individual Export; Link to Source,Not Applicable,html; pdf,No,No,No,No,No,Irregular,Period of Record,hub,5
p30,CA Statewide Groundwater Elevation Monitoring (CASGEM),n30,Groundwater Management Program,NRA-Groundwater Management,NRA-Groundwater Management: CA Statewide Groundwater Elevation Monitoring (CASGEM),Natural Resources Agency,3,https://water.ca.gov/Programs/Groundwater-Management/Groundwater-Elevation-Monitoring--CASGEM,Low,Unknown,Registration Required,Individual Export; Copy and Paste,Not Applicable,png; html,Yes,html,No,Descriptive,No,Unknown,Unknown,hub,5
p31,SGMA Groundwater Management Portal,n30,Groundwater Management Program,NRA-Groundwater Management,NRA-Groundwater Management: SGMA Groundwater Management Portal,Natural Resources Agency,3,https://sgma.water.ca.gov/portal/#intro,Low,Website; Map,Yes,Individual Export,Not Applicable,pdf; shapefile,No,No,No,No,No,Unknown,Period of Record,hub,5
p32,DOC Maps: California Geological Survey,n36,CA Geological Survey,NRA-CGS,NRA-CGS: DOC Maps: California Geological Survey,Natural Resources Agency,3,https://maps.conservation.ca.gov/cgs/#datalist,Low,Website,Yes,Web Services,Not Applicable,shapefile; zip,Yes,html,Yes,Administrative; Descriptive; Structural,Yes,Irregular,Period of Record,hub,5
p33,Water Use SB 1281 Data and Reports,n38,"Division of Oil, Gas, and Geothermal Resources",NRA-DOGGR,NRA-DOGGR: Water Use SB 1281 Data and Reports,Natural Resources Agency,3,http://www.conservation.ca.gov/dog/SB%201281/Pages/SB_1281DataAndReports.aspx,Low,Website,Yes,Individual Export,Not Applicable,csv; pdf; txt,No,No,Yes,No,No,Yearly or Higher,Limited Record,hub,5
p34,Biogeographic Information and Observation System,n43,Ecosystem Conservation Division,NRA-Ecosystems Conservation,NRA-Ecosystems Conservation: Biogeographic Information and Observation System,Natural Resources Agency,3,https://map.dfg.ca.gov/bios/,Medium,Map,Yes,Individual Export; Link to Source,Not Applicable,shapefile; html,Yes,html,No,Administrative; Descriptive; Structural,Yes,Unknown,Period of Record,hub,5
p35,Geographic Information Systems (GIS) Services,n43,Ecosystem Conservation Division,NRA-Ecosystems Conservation,NRA-Ecosystems Conservation: Geographic Information Systems (GIS) Services,Natural Resources Agency,3,https://www.wildlife.ca.gov/Data/GIS,Low,Website,Yes,Individual Export; Web Services,Not Applicable,shapefile; zip,No,No,No,No,No,Unknown,Period of Record,hub,5
p36,"Electricity Data, Facts, and Statistics",n45,Energy Commission,NRA-Energy Commission,"NRA-Energy Commission: Electricity Data, Facts, and Statistics",Natural Resources Agency,3,http://www.energy.ca.gov/almanac/electricity_data/,Low,Website,Yes,Copy and Paste; Individual Export,Not Applicable,csv; excel; html,No,No,No,No,No,Yearly or Higher,Limited Record,hub,5
p37,CA Renewable Energy Statistics and Data,n47,Renewable Energy Division,NRA-Renewable Energy,NRA-Renewable Energy: CA Renewable Energy Statistics and Data,Natural Resources Agency,3,http://www.energy.ca.gov/almanac/renewables_data/,Low,Website,Yes,Copy and Paste; Individual Export,Not Applicable,csv; excel; html,No,No,No,No,No,Yearly or Higher,Limited Record,hub,5
