"platformID","platform","entity","entityID","webLabel","heatmapLabel","tier1and2entity","tier1and2entityID","website","easeDiscover","methodDiscover","easeAccess","methodAccess","LinktoSource","fileFormat","metadata","metadataFormat","dataDefinitions","metaAttributes","metadataStandards","timeliness","lengthAvailable","group","count"
"p03","CDSS Data and Tools","Division of Water Resources","n08","CDWR","CDWR: CDSS Data and Tools","Department of Natural Resources","n02","https://dwr.state.co.us/tools","Medium","Catalog; Map","Yes","Full Export; Batch Export","Not Applicable","pdf; html; csv; shapefile; geodatabase; raster; excel","yes","unknown","No","Descriptive; Administrative; Structural","Unknown","Varies","Varies","hub",5
"p04","Imaged Documents","Division of Water Resources","n08","CDWR","CDWR: Imaged Documents","Department of Natural Resources","n02","https://dnrweblink.state.co.us/dwr/","Medium","Catalog","Yes","Individual Export","Not Applicable","pdf","some","in data","Some","Descriptive","No","Varies","Period of Record","hub",5
"p05","Open Data","Department of Public Health and Environment","n21","CDPHE","CDPHE: Open Data","Department of Public Health and Environment","n21","https://data-cdphe.opendata.arcgis.com/","Medium","Catalog","Yes","Full Export","Not Applicable","excel; shapefile; kml","yes","html; xml","Yes","Descriptive; Administrative; Structural","Yes","Varies","Varies","hub",5
"p06","Clean Water - GIS Maps","Clean Water Program","n23","CDPHE","CDPHE: Clean Water - GIS Maps","Department of Public Health and Environment","n21","https://www.colorado.gov/pacific/cdphe/clean-water-gis-maps","Medium","Website","Yes","Individual Export","Not Applicable","shapefile; geodatabase; zip","yes","xml","Yes","Descriptive; Administrative","Yes","Unknown","Current only","hub",5
"p07","Watershed Rapid Assessment Program","Clean Water Program","n23","CDPHE","CDPHE: Watershed Rapid Assessment Program","Department of Public Health and Environment","n21","https://erams.com/wrap","Medium","Map","Yes","Batch Export","Not Applicable","png; pdf; csv; excel; shapefile","yes","html","No","Descriptive; Administrative","Yes","Daily or Higher","Varies","hub",5
"p09","Water Quality Planning","Clean Water Program","n23","CDPHE","CDPHE: Water Quality Planning","Department of Public Health and Environment","n21","https://www.colorado.gov/pacific/cdphe/wq-planning","Medium","Website","Yes","Individual Export","Not Applicable","pdf","yes","in data","No","Administrative","No","Unknown","Limited Record","hub",5
"p10","Agricultural Water Quality Database","Agricultural Water Quality Program","n29","CDA","CDA: Agricultural Water Quality Database","Department of Agriculture","n27","https://erams.com/co_agwaterquality/search_data","High","Website","Yes","Individual Export","Not Applicable","csv","no","no","No","No","No","Unknown","Period of Record","hub",5
"p12","Drinking water compliance assurance","Safe Drinking Water Program","n24","CDPHE","CDPHE: Drinking water compliance assurance","Department of Public Health and Environment","n21","https://www.colorado.gov/pacific/cdphe/drinking-water-consumer-information","Medium","Website; Catalog","Yes","Full Export; Individual Export","Not Applicable","csv; excel","some","pdf","Yes","Administrative","No","Monthly or Higher","Period of Record","hub",5
"p13","Colorado Environmental Records","Department of Public Health and Environment","n21","CDPHE","CDPHE: Colorado Environmental Records","Department of Public Health and Environment","n21","https://environmentalrecords.colorado.gov/HPRMWebDrawer/search","Medium","Catalog","Yes","Individual Export","Not Applicable","pdf","yes","in data","No","Administrative","Yes","Unknown","Period of Record","hub",5
"p14","Water quality 10-year roadmap","Clean Water Program","n23","CDPHE","CDPHE: Water quality 10-year roadmap","Department of Public Health and Environment","n21","https://www.colorado.gov/pacific/cdphe/WQ-10-Year-Roadmap","Medium","Website","Yes","Individual Export","Not Applicable","pdf","yes","in data","No","Descriptive; Structural","No","Unknown","Current only","hub",5
