platformID,platform,entityID,entity,webLabel,heatmapLabel,tier1and2entity,tier1and2entityID,website,easeDiscover,methodDiscover,easeAccess,methodAccess,LinktoSource,fileFormat,metadata,metadataFormat,dataDefinitions,metaAttributes,metadataStandards,timeliness,lengthAvailable,group,count
p03,Electronic Discharge Monitoring Report,n04,Water Resources,DEQ-Water Resources,DEQ-Water Resources: Electronic Discharge Monitoring Report,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/edmr,No,Unknown,No,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hub,5
p04,BasinWide Information Management System,n04,Water Resources,DEQ-Water Resources,DEQ-Water Resources: BasinWide Information Management System,Department of Environmental Quality,2,http://bimsportal.ncdenr.org:7001/Welcome.do,No,Unknown,No,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hub,5
p05,Water Resources Hot Topics,n04,Water Resources,DEQ-Water Resources,DEQ-Water Resources: Water Resources Hot Topics,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/dwr-hot-topics,Low,Map; Website,Yes,Individual Export; Link to Source,Not Applicable,excel; pdf; shapefile; jpg,Yes,No,No,No,No,Irregular,Limited Record,hub,5
p06,Public Water Supply,n04,Water Resources,DEQ-Water Resources,DEQ-Water Resources: Public Water Supply,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/drinking-water/drinking-water-protection-program,Low,Website,Yes,Individual Export,Not Applicable,pdf; shapefile,Yes,html,Yes,Administrative,No,Irregular,Current Only,hub,5
p07,Sampling Status Report,n06,Public Water Supply,DEQ-Public Water Supply,DEQ-Public Water Supply: Sampling Status Report,Department of Environmental Quality,2,https://pws.ncwater.org/PWSReports/pages/default.aspx,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,in data,No,Administrative,No,Irregular,Limited Record,hub,5
p08,Drinking Water Watch,n06,Public Water Supply,DEQ-Public Water Supply,DEQ-Public Water Supply: Drinking Water Watch,Department of Environmental Quality,2,https://www.pwss.enr.state.nc.us/NCDWW2/,Low,Website,Yes,Copy and Paste,Not Applicable,html,No,No,No,No,No,Irregular,Limited Record,hub,5
p09,Watershed Assessment Team,n43,Water Sciences,DEQ-Water Sciences,DEQ-Water Sciences: Watershed Assessment Team,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/water-resources-data/watershed-assessment-team,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,No,No,No,Unknown,Current Only,hub,5
p10,Local Water Supply Plans,n07,Water Planning,DEQ-Water Planning,DEQ-Water Planning: Local Water Supply Plans,Department of Environmental Quality,2,https://www.ncwater.org/Water_Supply_Planning/Local_Water_Supply_Plan/index.php,Low,Website,Yes,Copy and Paste,Not Applicable,html,No,in data,No,Administrative; Descriptive,No,Yearly or Higher,Period of Record,hub,5
p11,Basin Planning,n07,Water Planning,DEQ-Water Planning,DEQ-Water Planning: Basin Planning,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/planning/basin-planning/maps,Medium,Map; Website,Yes,Web Services; Individual Export,Not Applicable,pdf; shapefile,No,No,No,No,No,Irregular,Varies,hub,5
p12,"Classifications, Standards, and Rules Review",n07,Water Planning,DEQ-Water Planning,"DEQ-Water Planning: Classifications, Standards, and Rules Review",Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/planning/classification-standards/classifications,Medium,Map,Yes,Link to Source,Direct,shapefile; pdf,Yes,html; json,Yes,Descriptive; Structural,No,Irregular,Current Only,hub,5
p13,Groundwater Management,n07,Water Planning,DEQ-Water Planning,DEQ-Water Planning: Groundwater Management,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/water-planning/ground-water-management-branch/ground-water-quality-monitoring,Low,Website,Yes,Individual Export; Copy and Paste,Not Applicable,pdf; html,No,No,No,No,No,Irregular,Limited Record,hub,5
p14,Modeling & Assessment,n07,Water Planning,DEQ-Water Planning,DEQ-Water Planning: Modeling & Assessment,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/planning/modeling-assessment,Medium,Map; Website,Yes,Individual Export,Not Applicable,pdf; shapefile; zip; excel,Yes,pdf,No,Descriptive,No,Irregular,Current Only,hub,5
p15,Groundwater,n04,Water Resources,DEQ-Water Resources,DEQ-Water Resources: Groundwater,Department of Environmental Quality,2,https://www.ncwater.org/?page=3,Medium,Map; Website,Yes,Individual Export; Copy and Paste,Not Applicable,txt; html,Yes,html,No,Administrative; Descriptive,No,Monthly or Higher,Period of Record,hub,5
